Team,Elo
Atlanta Hawks,1349
Boston Celtics,1575
Brooklyn Nets,1408
Charlotte Hornets,1501
Chicago Bulls,1317
Cleveland Cavaliers,1552
Dallas Mavericks,1357
Denver Nuggets,1587
Detroit Pistons,1488
Golden State Warriors,1578
Houston Rockets,1732
Indiana Pacers,1557
Los Angeles Clippers,1506
Los Angeles Lakers,1486
Memphis Grizzlies,1322
Miami Heat,1506
Milwaukee Bucks,1514
Minnesota Timberwolves,1551
New Orleans Pelicans,1588
New York Knicks,1378
Oklahoma City Thunder,1620
Orlando Magic,1335
Philadelphia 76ers,1660
Phoenix Suns,1277
Portland Trail Blazers,1614
Sacramento Kings,1360
San Antonio Spurs,1580
Toronto Raptors,1676
Utah Jazz,1686
Washington Wizards,1483
