Year,Team,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
2013,Denver Nuggets,0.478,0.343,0.516,0.701,1092,2601,2002,762,533,1253,1682,8704
2013,Houston Rockets,0.461,0.366,0.511,0.754,909,2652,1902,679,359,1348,1662,8688
2013,Oklahoma City Thunder,0.48100000000000004,0.377,0.514,0.828,854,2725,1753,679,624,1253,1654,8669
2013,San Antonio Spurs,0.48100000000000004,0.376,0.519,0.7909999999999999,666,2721,2058,695,446,1206,1427,8448
2013,Miami Heat,0.496,0.396,0.536,0.754,676,2490,1890,710,441,1143,1533,8436
2013,Los Angeles Lakers,0.45799999999999996,0.355,0.503,0.6920000000000001,942,2732,1818,576,429,1232,1467,8381
2013,Golden State Warriors,0.45799999999999996,0.40299999999999997,0.475,0.79,885,2801,1845,567,346,1236,1753,8296
2013,Dallas Mavericks,0.462,0.37200000000000005,0.489,0.7929999999999999,767,2670,1906,648,454,1144,1698,8293
2013,Los Angeles Clippers,0.478,0.358,0.522,0.711,938,2475,1958,784,461,1197,1716,8289
2013,Sacramento Kings,0.447,0.363,0.474,0.769,943,2385,1708,671,342,1199,1717,8219
2013,New York Knicks,0.44799999999999995,0.376,0.48700000000000004,0.759,890,2436,1579,672,294,988,1650,8196
2013,Milwaukee Bucks,0.435,0.36,0.457,0.736,1068,2537,1876,685,550,1156,1554,8108
2013,Utah Jazz,0.45399999999999996,0.366,0.47700000000000004,0.764,989,2457,1859,690,515,1210,1750,8038
2013,Atlanta Hawks,0.46399999999999997,0.371,0.501,0.715,758,2593,2007,664,369,1219,1473,8032
2013,Portland Trail Blazers,0.44799999999999995,0.353,0.486,0.7759999999999999,874,2474,1784,538,353,1203,1518,7995
2013,Toronto Raptors,0.446,0.34299999999999997,0.48,0.7879999999999999,871,2426,1765,595,392,1124,1836,7971
2013,Brooklyn Nets,0.45,0.35700000000000004,0.484,0.731,1047,2460,1668,599,391,1206,1500,7944
2013,Cleveland Cavaliers,0.434,0.34600000000000003,0.46,0.7559999999999999,1004,2359,1694,647,334,1149,1737,7913
2013,Minnesota Timberwolves,0.439,0.305,0.47700000000000004,0.742,973,2473,1836,700,387,1214,1509,7851
2013,Boston Celtics,0.465,0.358,0.494,0.7759999999999999,654,2533,1843,667,365,1181,1717,7818
2013,Phoenix Suns,0.44299999999999995,0.33,0.473,0.7440000000000001,959,2454,1855,659,434,1278,1688,7805
2013,Detroit Pistons,0.449,0.35600000000000004,0.474,0.6990000000000001,991,2463,1742,574,400,1241,1623,7778
2013,Orlando Magic,0.44799999999999995,0.32899999999999996,0.48200000000000004,0.755,890,2612,1871,528,358,1191,1591,7718
2013,New Orleans Pelicans,0.44799999999999995,0.363,0.473,0.7759999999999999,988,2426,1721,520,440,1193,1673,7714
2013,Indiana Pacers,0.436,0.34700000000000003,0.465,0.746,1043,2671,1645,580,513,1227,1623,7674
2013,Charlotte Hornets,0.425,0.335,0.44799999999999995,0.75,917,2389,1587,591,479,1153,1561,7661
2013,Memphis Grizzlies,0.444,0.345,0.46299999999999997,0.773,1059,2445,1715,703,436,1144,1660,7659
2013,Washington Wizards,0.435,0.365,0.455,0.733,887,2652,1775,598,376,1238,1681,7644
2013,Chicago Bulls,0.43700000000000006,0.353,0.456,0.773,1026,2514,1886,588,417,1171,1617,7641
2013,Philadelphia 76ers,0.444,0.36,0.466,0.7290000000000001,896,2493,1867,609,384,1070,1505,764
2014,Los Angeles Clippers,0.474,0.35200000000000004,0.525,0.73,858,2668,2016,703,397,1136,1767,8850
2014,Houston Rockets,0.47200000000000003,0.358,0.529,0.7120000000000001,920,2797,1755,621,461,1323,1676,8829
2014,Minnesota Timberwolves,0.444,0.341,0.478,0.778,1024,2644,1963,718,297,1142,1504,8768
2014,Portland Trail Blazers,0.45,0.3720000000000001,0.48100000000000004,0.815,1022,2786,1904,454,387,1125,1576,8753
2014,Oklahoma City Thunder,0.47100000000000003,0.361,0.512,0.8059999999999999,887,2781,1794,678,501,1256,1858,8705
2014,San Antonio Spurs,0.486,0.397,0.517,0.785,762,2786,2064,604,420,1180,1495,8639
2014,Phoenix Suns,0.46299999999999997,0.3720000000000001,0.503,0.758,928,2601,1563,688,374,1258,1798,8629
2014,Dallas Mavericks,0.474,0.384,0.508,0.795,840,2514,1935,704,356,1110,1636,8597
2014,Denver Nuggets,0.447,0.358,0.48100000000000004,0.726,1009,2717,1838,615,459,1305,1890,8559
2014,Golden State Warriors,0.462,0.38,0.496,0.753,896,2819,1912,642,407,1247,1784,8549
2014,Los Angeles Lakers,0.45,0.381,0.478,0.757,745,2620,2006,611,446,1239,1627,8442
2014,Miami Heat,0.501,0.364,0.5579999999999999,0.76,627,2397,1847,732,367,1212,1596,8380
2014,Toronto Raptors,0.445,0.3720000000000001,0.475,0.782,935,2552,1737,577,343,1159,1882,8305
2014,Detroit Pistons,0.447,0.321,0.483,0.67,1196,2525,1714,687,395,1193,1666,8286
2014,Atlanta Hawks,0.45799999999999996,0.363,0.502,0.7809999999999999,713,2565,2041,680,326,1251,1577,8282
2014,Washington Wizards,0.45899999999999996,0.38,0.485,0.731,886,2573,1909,668,377,1204,1675,8254
2014,Sacramento Kings,0.447,0.33299999999999996,0.479,0.759,990,2656,1547,587,318,1249,1849,8241
2014,New Orleans Pelicans,0.45899999999999996,0.373,0.479,0.769,933,2486,1745,647,523,1129,1857,8177
2014,Philadelphia 76ers,0.435,0.312,0.47700000000000004,0.71,949,2556,1791,765,330,1384,1844,8155
2014,New York Knicks,0.449,0.3720000000000001,0.48200000000000004,0.7609999999999999,870,2437,1641,631,367,1063,1815,8084
2014,Brooklyn Nets,0.45899999999999996,0.369,0.4970000000000001,0.753,721,2407,1714,705,311,1191,1777,8079
2014,Cleveland Cavaliers,0.4370000000000001,0.35600000000000004,0.461,0.7509999999999999,989,2629,1738,579,304,1163,1640,8054
2014,Charlotte Hornets,0.442,0.35100000000000003,0.46799999999999997,0.737,776,2724,1778,499,421,1010,1493,7942
2014,Indiana Pacers,0.449,0.35700000000000004,0.47700000000000004,0.779,834,2831,1651,550,446,1237,1675,7933
2014,Orlando Magic,0.445,0.353,0.474,0.763,794,2654,1726,630,350,1222,1678,7914
2014,Boston Celtics,0.435,0.33299999999999996,0.47,0.777,980,2505,1726,584,343,1261,1743,7892
2014,Memphis Grizzlies,0.46399999999999997,0.353,0.48700000000000004,0.741,950,2526,1792,631,375,1124,1568,7884
2014,Milwaukee Bucks,0.43799999999999994,0.353,0.46399999999999997,0.747,971,2399,1760,541,403,1238,1713,7829
2014,Utah Jazz,0.444,0.344,0.474,0.747,904,2477,1664,570,366,1200,1699,7791
2014,Chicago Bulls,0.4320000000000001,0.348,0.456,0.779,937,2683,1860,594,424,1223,1565,7680
2015,Golden State Warriors,0.478,0.39799999999999996,0.514,0.768,853,2814,2248,762,496,1185,1628,9016
2015,Los Angeles Clippers,0.473,0.376,0.519,0.71,784,2711,2031,640,409,1012,1749,8751
2015,Dallas Mavericks,0.46299999999999997,0.35200000000000004,0.509,0.752,858,2608,1846,663,371,1062,1644,8628
2015,Toronto Raptors,0.455,0.35200000000000004,0.499,0.787,881,2526,1701,615,357,1057,1712,8527
2015,Oklahoma City Thunder,0.447,0.33899999999999997,0.486,0.754,1052,2844,1681,598,454,1205,1829,8524
2015,Houston Rockets,0.444,0.348,0.506,0.715,958,2624,1820,777,407,1366,1803,8522
2015,San Antonio Spurs,0.46799999999999997,0.3670000000000001,0.505,0.78,806,2772,2000,657,444,1146,1564,8461
2015,Cleveland Cavaliers,0.45799999999999996,0.3670000000000001,0.504,0.7509999999999999,911,2612,1814,603,340,1171,1510,8457
2015,Portland Trail Blazers,0.45,0.36200000000000004,0.491,0.8009999999999999,879,2881,1799,525,372,1117,1494,8429
2015,Atlanta Hawks,0.466,0.38,0.506,0.778,715,2611,2111,744,380,1167,1457,8409
2015,Phoenix Suns,0.452,0.341,0.4970000000000001,0.76,896,2643,1659,700,385,1238,1744,8397
2015,Denver Nuggets,0.433,0.325,0.47600000000000003,0.7340000000000001,1012,2653,1788,641,367,1166,1882,8320
2015,Boston Celtics,0.44299999999999995,0.327,0.488,0.754,910,2685,2009,674,294,1133,1738,8312
2015,Sacramento Kings,0.455,0.341,0.484,0.762,895,2728,1667,550,324,1333,1696,8310
2015,Chicago Bulls,0.442,0.353,0.474,0.7829999999999999,959,2792,1781,514,476,1145,1495,8265
2015,New Orleans Pelicans,0.457,0.37,0.484,0.7509999999999999,942,2621,1806,553,510,1087,1530,8147
2015,Washington Wizards,0.462,0.36,0.488,0.742,862,2801,1969,601,378,1233,1707,8080
2015,Detroit Pistons,0.4320000000000001,0.344,0.46799999999999997,0.703,1051,2630,1771,623,383,1099,1559,8077
2015,Los Angeles Lakers,0.435,0.344,0.461,0.741,952,2647,1715,578,366,1086,1741,8073
2015,Memphis Grizzlies,0.45799999999999996,0.33899999999999997,0.485,0.773,856,2634,1777,700,347,1094,1567,8062
2015,Brooklyn Nets,0.451,0.331,0.489,0.748,846,2627,1716,576,340,1133,1579,8038
2015,Milwaukee Bucks,0.45899999999999996,0.363,0.486,0.757,876,2574,1932,789,403,1373,1814,8023
2015,Minnesota Timberwolves,0.43799999999999994,0.332,0.461,0.7759999999999999,949,2406,1771,668,327,1231,1571,8016
2015,Indiana Pacers,0.439,0.35200000000000004,0.469,0.7559999999999999,856,2822,1757,505,375,1147,1742,7981
2015,Orlando Magic,0.45299999999999996,0.34700000000000003,0.486,0.7290000000000001,822,2607,1692,647,314,1221,1714,7847
2015,Utah Jazz,0.447,0.34299999999999997,0.486,0.721,988,2617,1632,623,489,1256,1583,7801
2015,Miami Heat,0.456,0.335,0.499,0.741,747,2461,1626,642,372,1214,1636,7764
2015,Charlotte Hornets,0.42,0.318,0.45,0.748,820,2793,1654,499,448,976,1494,7721
2015,Philadelphia 76ers,0.408,0.32,0.449,0.6759999999999999,978,2536,1683,789,487,1453,1778,7542
2015,New York Knicks,0.428,0.34700000000000003,0.45399999999999996,0.769,867,2443,1746,575,382,1206,1768,7535
2016,Golden State Warriors,0.48700000000000004,0.41600000000000004,0.528,0.763,816,2972,2373,689,498,1245,1701,9421
2016,Oklahoma City Thunder,0.47600000000000003,0.349,0.524,0.782,1071,2916,1883,603,487,1305,1691,9038
2016,Sacramento Kings,0.46399999999999997,0.359,0.5,0.725,868,2760,2009,733,368,1326,1676,8740
2016,Houston Rockets,0.452,0.34700000000000003,0.514,0.6940000000000001,930,2601,1821,821,430,1307,1790,8737
2016,Boston Celtics,0.439,0.335,0.483,0.7879999999999999,950,2733,1981,752,348,1127,1796,8669
2016,Portland Trail Blazers,0.45,0.37,0.49,0.754,948,2782,1748,562,380,1200,1782,8622
2016,Los Angeles Clippers,0.465,0.364,0.513,0.6920000000000001,721,2727,1873,709,460,1063,1746,8569
2016,Cleveland Cavaliers,0.46,0.36200000000000004,0.514,0.748,873,2777,1861,551,317,1114,1666,8555
2016,Washington Wizards,0.46,0.358,0.501,0.73,743,2688,2005,708,323,1186,1708,8534
2016,San Antonio Spurs,0.484,0.375,0.515,0.8029999999999999,770,2831,2010,677,485,1071,1433,8490
2016,Charlotte Hornets,0.439,0.36200000000000004,0.479,0.79,734,2869,1778,595,438,1030,1487,8479
2016,Atlanta Hawks,0.45799999999999996,0.35,0.512,0.7829999999999999,679,2772,2100,747,486,1226,1570,8433
2016,New Orleans Pelicans,0.44799999999999995,0.36,0.48200000000000004,0.7759999999999999,782,2712,1818,633,342,1102,1713,8423
2016,Toronto Raptors,0.451,0.37,0.483,0.777,836,2724,1536,636,449,1073,1610,8422
2016,Minnesota Timberwolves,0.46399999999999997,0.33799999999999997,0.496,0.792,821,2587,1916,656,375,1231,1696,8398
2016,Dallas Mavericks,0.444,0.344,0.495,0.794,751,2781,1813,560,306,1047,1595,8388
2016,Indiana Pacers,0.45,0.35100000000000003,0.486,0.764,847,2779,1741,742,391,1219,1641,8377
2016,Orlando Magic,0.455,0.35,0.4920000000000001,0.757,843,2709,1933,673,417,1155,1701,8369
2016,Detroit Pistons,0.439,0.345,0.48,0.6679999999999999,1021,2777,1594,573,304,1110,1557,8361
2016,Denver Nuggets,0.442,0.33799999999999997,0.48200000000000004,0.7659999999999999,941,2718,1858,609,395,1202,1723,8355
2016,Chicago Bulls,0.441,0.371,0.46399999999999997,0.787,907,2889,1870,495,470,1141,1545,8335
2016,Phoenix Suns,0.435,0.348,0.47200000000000003,0.7509999999999999,943,2733,1701,632,313,1410,1858,8271
2016,Miami Heat,0.47,0.336,0.508,0.7440000000000001,807,2811,1709,553,531,1155,1502,8204
